"Attribute","ValueDecode"
BCNSHP,1;Stake. Pole. Perch. Post;2;Withy;3;BeaconTower;4;Lattice Beacon;5;Pile Beacon;6;Cairn;7;Bouyant Beacon
BUISHP,1;no specific shape;2;tower;3;spire;4;cupola (dome);5;high-rise building;6;pyramid;7;cylindrical;8;spherical;9;cubic
BOYSHP,1;conical (nun);2;can (cylindrical);3;spherical;4;pillar;5;spar (spindle);6;barrel (tun);7;super-buoy;8;ice buoy
CATAIR,1;military aeroplane airport;2;civil aeroplane airport;3;military heliport;4;civil heliport;5;glider arifield;6;small planes airfield;8;emergency airfield
CATACH,1;unrestricted anchorage;2;deep water anchorage;3;tanker anchorage;4;explosives anchorage;5;quarantine anchorage;6;sea-plane anchorage;7;small craft anchorage;8;small craft mooring area;9;anchorage for periods up to 24 hours;10;anchorage for a limited period of time
CATBRG,1;fixed bridge;2;opening bridge;3;swing bridge;4;lifting bridge;5;bascule bridge;6;pontoon bridge;7;draw bridge;8;transporter bridge;9;footbridge;10;viaduct;11;aqueduct;12;suspension bridge
CATBUA,1;urban area;2;settlement;3;village;4;town;5;city;6;holiday village
CATCBL,1;power line;2;telephone/telegraph;3;transmission line;4;telephone;5;telegraph;6;mooring cable/chain
CATCAN,1;transportation;2;drainage;3;irrigation
CATCAM,1;north cardinal mark;2;east cardinal mark;3;south cardinal mark;4;west cardinal mark
CATCHP,1;custom
CATCOA,1;steep coast;2;flat coast;3;sandy shore;4;stony shore;5;shingly shore;6;glacier (seaward end);7;mangrove;8;marshy shore;9;coral reef;10;ice coast;11;shelly shore
CATCTR,1;triangulation point;2;observation spot;3;fixed point;4;bench-mark;5;boundary mark;6;horizontal control| main station;7;horizontal control| secondary station
CATCON,1;aerial cableway (telepheric);2;belt conveyor
CATCOV,1;coverage available;2;no coverage available
CATCRN,1;crane without specific construction;2;container crane/gantry;3;sheerlegs;4;travelling crane;5;A-frame
CATDAM,1;weir;2;dam;3;flood barrage
CATDIS,1;distance mark not physically installed;2;visible mark pole;3;visible mark board;4;visible mark unknown shape
CATDOC,1;tidal;2;non-tidal (wet dock)
CATDPG,1;general dumping ground;2;chemical waste dumping ground;3;nuclear waste dumping ground;4;explosives dumping ground;5;spoil ground;6;vessel dumping ground
CATFNC,1;fence;2;muir;3;hedge;4;wall
CATFRY,1;'free moving' ferry;2;cable ferry;3;ice ferry
CATFIF,1;fishing stake;2;fish trap;3;fish weir;4;tunny net
CATFOG,1;explosive;2;diaphone;3;siren;4;nautophone;5;reed;6;tyfon;7;bell;8;whistle;9;gong;10;horn
CATFOR,1;castle;2;fort;3;battery;4;blockhouse;5;Martello tower;6;redoubt
